訓練資料來源                訓練資料筆數  驗證資料筆數 訓練次數 驗證時k值  lr  epoch word_ngrams 精確度平均 精確度標準差 召回率平均 召回率標準差
name                          43285        4328       10        1     0.2    5         1       66.169%    0.629%    66.169%    0.629%
name                          43285        4328       10        1     0.2   20         1       66.098%    0.795%    66.098%    0.795%
name                          43285        4328       10        1     0.2   35         1       66.067%    0.479%    66.067%    0.479%
name                          43285        4328       10        1     0.2   50         1       65.767%    0.374%    65.767%    0.374%
name                          43285        4328       10        1     0.4    5         1       66.084%    0.809%    66.084%    0.809%
name                          43285        4328       10        1     0.4   20         1       65.829%    0.454%    65.829%    0.454%
name                          43285        4328       10        1     0.4   35         1       65.439%    0.488%    65.439%    0.488%
name                          43285        4328       10        1     0.4   50         1       66.000%    0.713%    66.000%    0.713%
name                          43285        4328       10        1     0.6    5         1       66.407%    0.579%    66.407%    0.579%
name                          43285        4328       10        1     0.6   20         1       65.571%    0.816%    65.571%    0.816%
name                          43285        4328       10        1     0.6   35         1       65.610%    0.639%    65.610%    0.639%
name                          43285        4328       10        1     0.6   50         1       65.996%    0.643%    65.996%    0.643%

訓練資料來源                訓練資料筆數  驗證資料筆數 訓練次數 驗證時k值  lr  epoch word_ngrams 精確度平均 精確度標準差 召回率平均 召回率標準差
intro                         11381        1138       10        1     0.2    5         1       63.977%    1.377%    63.977%    1.377%
intro                         11381        1138       10        1     0.2   20         1       65.545%    1.836%    65.545%    1.836%
intro                         11381        1138       10        1     0.2   35         1       65.817%    1.570%    65.817%    1.570%
intro                         11381        1138       10        1     0.2   50         1       65.228%    1.825%    65.228%    1.825%
intro                         11381        1138       10        1     0.4    5         1       65.193%    0.938%    65.193%    0.938%
intro                         11381        1138       10        1     0.4   20         1       65.167%    1.613%    65.167%    1.613%
intro                         11381        1138       10        1     0.4   35         1       65.058%    1.083%    65.058%    1.083%
intro                         11381        1138       10        1     0.4   50         1       64.677%    1.368%    64.677%    1.368%
