原分類 被分成 原始資料
西式料理 => 中式料理 =>  蛋 香蕉 預拌粉 奶油 造型巧克力米 牛奶  1 將馬芬蛋糕預拌粉過篩；香蕉打成泥 備用   2 將作法1的材料與其餘的材料A攪拌均勻成麵糊狀   3 將作法2的麵糊倒入馬芬杯中 放入已預熱的烤箱中以上火180 下火160 烤約30分鐘   4 取出作法3的蛋糕 在表面刷上糖漿 再貼造型巧克力米即可 

中式料理__label__西式料理 => 中式料理 =>  西瓜 黑糖水  1 將西瓜洗淨去皮 切塊狀   2 取適量的剉冰擺盤 將做法1切好的西瓜丁擺上 均勻淋上煉乳及黑糖水即可 

西式料理 => 中式料理 =>  豬絞肉 牛番茄 檸檬汁 北方河南燴麵 先將絞肉用米酒或味霖醃約20分鐘 去除腥味 期間可將蒜頭切碎 番茄切小丁 醬汁事先調好 熱油鍋將蒜丁爆香 香氣出來後 加入絞肉與番茄 炒至熟透 加入事先調好的醬汁 再煨煮一下 這時就超香了  此時煮一鍋熱水 沸騰後放入南僑讚岐北方河南燴麵麵條 不須解凍 在滾水裡1分鐘即可起鍋瀝乾 加入鍋子內炒一炒 起鍋前放入九層塔 就可以關火上桌囉  一上桌那酸酸甜甜的味道 真的很引誘人吶 喜歡吃辣的朋友 可以將辣椒切開跟著蒜丁一起下去爆香 吃起來會很過癮喔 加了番茄 讓整道菜餚更有果香氣 包準讓全家人都 食指大動哦 即將進入夏天的夜晚 來

中式料理__label__西式料理 => 中式料理 =>  白柚  1 將柳橙洗淨壓成汁備用   2 取一鍋 放入水煮滾後再放入細砂糖攪拌至糖溶化 再倒入作法1的柳橙汁拌勻   3 將作法2的材料倒入圓型容器中 蓋上冰蓋再插上小竹籤 放入冰箱冷凍至變硬即可 

西式料理 => 中式料理 =>  蔥 蛋 木耳 冬粉 菠菜 白芝麻 韓式辣醬 洋蔥片 胡蘿蔔 先將韓式冬粉浸軟 再用一鍋沸水煮4分鐘 瀝乾水份備用 將黑木耳 洋蔥 紅蘿蔔切幼絲 青蔥切段 菠菜切細 熱鍋下油 先煎蛋餅 然後切成小塊備用 熱鍋下油 先炒洋蔥 黑木耳及紅蘿蔔數分鐘至軟身 然後下菠菜快炒 再下冬粉及所有調味料拌勻 最後下蔥段及蛋絲 拌勻 灑上白芝麻即成  

西式料理 => 中式料理 =>  白飯 左邊是飯先生 右邊是家裡的米 煮好米飯沒有膨脹那麼多感覺上份量少了1 2碗 口感軟Q較黏一點 日文來說就是 囉 

西式料理 => 中式料理 =>  蝦 芒果 奇異果 火龍果 萵苣 壽司飯 沙拉醬 蛋黃2個 鹽1 4 胡椒 1 4 芥末醬 黃色 1T 細糖2T 白醋 2T 橄欖油 1C 沙拉醬做法 和 先拌勻 慢慢倒入C橄欖油攪拌至濃稠狀即可倒入容器後放入冰箱備用 壽司飯 米 4C 水3 5 C 洗淨後放30分鐘 煮後悶15分鐘 壽司醋 白醋 1 2C 白糖3T 昆布10 寬1截 鹽1 4 將飯倒出加入 醋水1 2C伴勻放涼 將手沾醋水把壽司飯捏成小長丸 將芒果去皮切長條 萵苣洗淨瀝乾水分 吉品無毒蝦燙熟 將所有材料備好 好吃指數100喔 台南楠西芒果滿滿12大顆愛文芒果 每顆芒果紅咚咚的佈滿了果粉香氣濃郁 

西式料理 => 中式料理 =>  花椰 胡蘿蔔 麵包粉 花椰菜洗淨切成適合入口大小  梗又脆又甜 很好吃呦 我們別浪費 只需撕去老皮 切片備用  水滾後加少許塩 放入花椰菜及紅蘿蔔燙熟撈起瀝水並將蒜頭切末 辣椒切片備用  冷鍋放入葵花油開中火放蒜末爆香 放入辣豆瓣醬 咖哩炒醬拌勻 再放入麵包粉拌炒至酥香  最後放入作法3及辣椒快速拌炒均勻就完成囉 花椰菜及紅蘿蔔是熟的 不需炒太久 

日式料理 => 中式料理 =>  蔥 白飯 土魠魚 烏龍麵 有機綠茶 蟹柳條 宜蘭有機米試用包大約是1 5杯米 這次體驗組有有機綠茶 紅茶 烏龍茶 綠茶應該比較適合茶泡飯  綠茶倒在鍋中的樣子 我用400CC的水泡開  600CC的水加入高湯包煮開 怕高湯搶過茶香 所以只用半包 倒入剛剛的綠茶煮開 之後放入蟹肉棒  土魠魚煎好備用 三星蔥再度登場 洗淨切細段  熱騰騰的有機米香噴噴出爐啦 放上剛剛切好的三星蔥  倒入茶高湯和蟹肉條 再放上土魠魚 可以弄碎 但我喜歡大塊的XD 就完成了 非常清雅 好好吃 值得一試 

